entity,time,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8
Kachi Plain,-1800,3.190743613,0.23090982,0.398490924,0.513412559,0.563086424,-0.071346819,0.358957725,0.237021458,-0.008783345
Kachi Plain,-1300,2.396984136,1.01890355,-1.08026695,0.69544989,0.619433993,1.236020584,0.056921428,-0.795534343,-0.07591825
Kachi Plain,-300,-2.419707093,0.122548541,0.177939909,0.10841128,0.520449535,0.335407717,-0.318162761,-0.240236298,-0.08344446
Kachi Plain,-100,-1.782464792,-0.614971477,-0.363476783,0.437160765,0.449377292,0.446982536,0.522515725,0.110433552,-0.059948862
Kachi Plain,900,-1.20970688,-1.017384393,0.014226223,0.153278282,0.578279939,0.495456818,-0.402627665,-0.246081385,-0.119216199
Kachi Plain,1000,-1.372596247,-0.767701321,0.043032985,0.199492791,0.187100458,0.680291712,-0.179237329,0.040494633,-0.109790202
Kachi Plain,1100,-1.170534694,-0.408850865,0.496386649,-0.029313676,-0.043692367,0.173253483,0.503423357,0.318845609,-0.374455708
Kachi Plain,1200,-2.260417375,-0.226085523,0.010700464,0.056581041,0.927186377,0.487795658,0.109065626,-0.502332136,-0.235682016
Kachi Plain,1300,-3.272979091,0.033977726,-0.199126677,0.46492569,-0.042855767,-0.779836285,-0.37537966,0.642636774,0.50007999
Kachi Plain,1400,-1.543246761,-0.42670159,0.165041244,0.229870325,-0.375437011,0.968035176,0.034101726,0.303604571,-0.115254819
Kachi Plain,1500,-1.275219977,-0.734348058,0.241429812,0.128278123,0.075290222,0.786606551,-0.364951001,-0.237473275,-0.154514721
Kachi Plain,1600,-2.154870058,-0.32217623,0.023568017,0.054957683,1.108096074,-0.087989885,-0.206981878,-0.468093605,-0.151965511
Kachi Plain,1700,-3.194100447,0.809591712,0.035931045,0.220763457,0.127280793,0.526747313,0.876264164,0.061226353,-0.241876675
Kachi Plain,1800,-0.985997786,-0.536001643,1.597144932,-0.134482704,0.040804496,0.088147787,-0.256810669,-0.257877628,-0.526561682
Kansai,-300,3.672125134,-1.16854723,0.133175087,1.85117789,-0.98417564,-0.111782365,0.41476318,-0.303049503,-0.107015739
Kansai,300,1.496298357,0.242270549,0.302745979,1.112226885,0.369260912,-0.109438275,0.609069706,-0.129656646,-0.177188645
Kansai,400,1.053315975,-0.259947623,0.364988135,0.509300576,0.194936438,-0.228292316,0.598845005,-0.26706719,-0.153351085
Kansai,500,0.356978593,-1.074558811,0.11419074,-0.067208875,0.040159186,0.061246062,0.264574193,-0.413853348,0.099721876
Kansai,600,-1.605452682,-0.562329493,0.030486625,0.094729356,0.29561041,0.312918855,0.690266565,0.245929039,-0.294890232
Kansai,700,-1.485382618,-0.706464496,0.081871595,0.039106729,0.53976466,0.226547774,0.48805294,-0.110090698,-0.332157358
Kansai,800,-2.25107362,-0.408669388,0.034658195,-0.09787523,0.130829735,0.247359453,0.627605166,0.190810769,-0.004108615
Kansai,900,-2.278004094,-0.384186546,0.044452662,-0.097958911,0.128531476,0.260403163,0.643837015,0.12952753,-0.020193342
Kansai,1000,-2.251851276,-0.411575149,0.044758822,-0.103661262,0.154922905,0.244821828,0.614662762,0.124047705,-0.015829399
Kansai,1100,-2.27035337,-0.394754657,0.051487933,-0.103718753,0.153343928,0.253783273,0.625814559,0.081944167,-0.026880119
Kansai,1200,-2.11698403,-0.127508509,-0.258062822,-0.271677688,-0.338879685,0.145241608,0.047171953,-0.125292956,0.137801456
Kansai,1300,-2.068591857,-0.181558908,-0.248333889,-0.287626641,-0.26749919,0.113690761,-0.019326854,-0.196087506,0.135371411
Kansai,1400,-2.186339001,-0.039434392,-0.18204516,-0.284845412,-0.459709361,0.221289953,0.010891459,-0.28419955,0.08437104
Kansai,1500,-1.498031747,-0.7111534,0.393193297,0.111088592,-0.806440088,0.304620332,0.047502223,-0.792041627,-0.054012765
Kansai,1600,-2.25168753,-0.32555735,0.201248766,-0.031680317,-0.154768012,0.498619648,0.184711446,-0.422728557,-0.028388823
Kansai,1700,-3.263212407,-0.174683965,0.076328356,0.615545619,-0.411758869,0.318811908,0.62794024,0.066937323,0.094543905
Kansai,1800,-3.282497053,-0.155147027,0.077893342,0.618695518,-0.426812818,0.329769763,0.647006683,0.059123402,0.089272881
Kapuasi Basin,1700,4.709752586,-0.486591483,0.08954455,-0.181512683,-0.754879852,-0.49094136,0.378850233,-0.022946027,0.059621014
Kapuasi Basin,1900,2.391208746,0.048098583,2.726650781,0.671907916,0.607922616,-0.05905451,-0.155925232,-0.214396356,0.168388616
Konya Plain,-9600,5.614786696,-0.122358542,-0.153439787,-0.316081324,0.188216779,-0.114395969,-0.021883185,-0.153009092,-0.490630625
Konya Plain,-7000,4.949859546,0.272354426,0.28495041,-1.028186841,0.576208196,0.023566943,-0.14322417,0.025951623,-0.068837531
Konya Plain,-6600,4.698002075,0.466751448,-0.158381209,-0.390150545,-0.791682657,0.311407233,0.987804447,0.197385355,-0.321158495
Konya Plain,-6000,4.05957169,-0.746851163,-0.55926552,-0.190575083,-1.654682601,-0.421561686,1.11250432,-0.362802619,0.100096819
Konya Plain,-5000,3.722539662,-0.050562935,-0.424620381,0.173339877,-0.815117443,0.12811993,0.128144284,0.123605673,0.02003582
Konya Plain,-3000,0.926431107,-1.019977549,0.453967486,-1.285390338,-0.600479824,0.255368126,0.19895845,-0.619013941,-0.174683848
Konya Plain,-2000,0.109881462,-1.023914513,-0.261897731,-1.000814547,-0.518100065,0.646360128,-0.280750979,0.085109476,-0.103558812
Konya Plain,-1600,-0.768379685,-0.203452314,-0.775136653,-0.117907605,0.479806897,-0.20690961,0.095298867,-0.292736458,-0.201537989
Konya Plain,-1500,-0.997650776,-0.33818155,-0.749834501,-0.427254256,0.451481588,-0.176294202,-0.058749878,0.133073746,-0.176485377
Konya Plain,-1400,-0.902863241,-0.479080388,-0.844197925,-0.323869822,0.301166297,-0.208619739,0.028179969,0.051680027,-0.214549219
Konya Plain,-1300,-1.060755983,0.148710555,-0.647226789,-0.198986694,0.54428316,-0.368887067,0.078077876,-0.216589728,-0.182187787
Konya Plain,-1200,-1.085807672,0.185949142,-0.62228719,-0.226310484,0.58401045,-0.360343652,0.055102919,-0.195077931,-0.172127777
Konya Plain,-1100,-0.116754765,-1.248765971,-1.330511758,-0.05541569,-0.183157339,-0.411582377,0.759317007,-0.299264829,0.302459267
Konya Plain,-900,-0.25765065,-0.628019852,-1.604843661,-1.018381929,-0.366135074,0.368300332,0.143198237,-0.452483725,0.090046611
Konya Plain,-800,-0.435939748,0.217145768,-1.422160817,-0.931349746,0.464506273,-0.05615758,0.339550486,-0.337873844,-0.081495428
Konya Plain,-600,-1.673282218,-0.714768994,-0.269626454,0.338005685,0.755068901,0.098381752,-0.044474515,0.069171893,-0.162932238
Konya Plain,-300,-1.563811428,-0.365561678,0.270855753,0.12344218,0.333943992,0.184822853,-0.092837068,-0.115732016,-0.106688051
Konya Plain,-100,-1.196206405,-0.351054933,0.364123169,0.17507268,-0.196392985,0.01955161,0.313464529,0.556569826,-0.152633684
Konya Plain,300,-3.35023014,0.799547611,-0.011810849,0.457105073,-0.344636981,-0.150453241,-0.263368189,0.009090772,0.035953137
Konya Plain,400,-3.299170038,0.300682812,-0.122555484,0.329507698,-0.383276182,-0.839596332,-0.281022075,-0.061261637,0.245489072
