0,1,2
39,2.281453371,-0.330985487
40,1.909205914,-0.337928087
41,1.856794715,-0.352629215
42,1.796541333,-0.362688333
43,3.727716208,-0.107143931
44,1.67406249,-0.382869214
45,1.612459421,-0.393359423
46,1.550587773,-0.404171705
47,1.488430381,-0.415350318
48,1.425967932,-0.42693612
49,1.365174055,-0.436652392
50,-0.462800056,-0.020013755
51,1.238096714,-0.466575921
52,1.172754288,-0.47833845
53,1.108604193,-0.492681354
54,1.044169307,-0.507657409
55,0.979524732,-0.523171067
56,0.914329886,-0.539862394
57,3.190743685,0.230909824
58,0.795125425,-0.576151848
59,0.717965186,-0.542256832
60,0.624391437,-0.269308507
61,0.549196422,-0.00691946
62,0.45795384,1.018903494
63,0.465846449,-0.030485403
64,0.405026317,-0.052417122
65,0.345333844,-0.065660365
66,0.284300864,-0.073467135
67,0.218287215,-0.078261107
68,0.114488125,-0.084561296
69,-0.117072836,-0.095370442
70,-0.20601806,-0.084187031
71,-0.144141451,-0.070572086
72,0.005849995,0.122548543
73,0.234209508,-0.110234156
74,-1.782464743,-0.614971459
75,0.076291583,-0.130444571
76,0.120634079,-0.19162336
77,0.07350979,-0.214494407
78,0.015905289,-0.233084202
79,-0.04253396,-0.250526875
80,-0.100129984,-0.267249554
81,-0.15700224,-0.28326416
82,-0.213807642,-0.298345029
83,-0.273962528,-0.313482761
84,-1.209706903,-1.01738441
85,-0.375996321,-0.767701328
86,-1.17053473,-0.408850878
87,-2.260417461,-0.226085529
88,-3.272979021,0.033977725
89,-1.543246746,-0.426701576
90,-1.275220037,-0.734348059
91,-1.097321153,-0.322176218
92,-3.19410038,0.809591711
93,-0.985997796,-0.536001623
0,3.672125101,-1.168547273
1,3.156168699,-1.437472939
2,3.142647266,-1.395308375
3,2.887196541,-1.255155683
4,2.521688461,-1.153727651
5,1.86061728,-1.06355989
6,1.496298313,-0.706134021
7,1.053315997,-0.259947628
8,0.356978595,-1.074558854
9,-1.605452657,-0.562329471
10,-1.485382676,-0.706464469
11,-2.251073599,-0.408669382
12,-2.278004169,-0.384186536
13,-2.25185132,-0.411575139
14,-1.205602765,-0.394754648
15,-2.116984129,-0.440439999
16,-2.068591833,-0.181558907
17,-2.186338902,-0.653991282
18,-1.498031735,-0.711153388
19,-2.251687527,-0.325557351
