,0,1,2
256,0.0,3.4654222,0.45801535
257,1.0,0.99677217,-1.6223104
258,0.0,3.7448409,-0.3688613
259,10.0,3.6604006,0.0579168
260,22.0,4.3063393,-0.12171982
261,23.0,3.4703424,0.22584718
262,24.0,3.4316483,
263,25.0,3.068116,0.53583467
264,26.0,2.5254278,0.9699492
265,28.0,1.8797877,-0.080400325
266,29.0,1.4520843,-1.7365139
267,30.0,,-1.1399964
268,31.0,0.44880304,-0.7079071
269,37.0,-1.5797437,-0.5078279
270,38.0,-1.5122972,-0.60998785
271,39.0,-1.4165862,-0.58369297
272,40.0,-1.9007505,0.1306196
273,41.0,-1.4156015,
274,42.0,-1.114983,-0.13979132
275,43.0,-0.80542,-0.623547
276,44.0,-2.4950955,0.032663394
277,45.0,-2.4734805,0.12419809
278,46.0,-2.4164364,0.08373578
279,47.0,-2.9428618,0.4031307
280,48.0,-3.3055534,0.7337485
281,49.0,-3.7507765,0.5115323
282,0.0,3.7202775,0.7222391
283,15.0,3.8378518,0.8220925
284,21.0,4.4777923,0.41199854
285,25.0,3.6984527,1.3304074
286,26.0,4.1474805,-0.9303774
287,27.0,3.0801265,0.48372826
288,28.0,2.9984028,1.0592026
289,33.0,-1.7187005,-0.17368647
290,34.0,,-0.76825833
291,35.0,-0.20204517,-1.4201355
292,36.0,-2.1568966,0.12292336
293,37.0,-2.1196318,0.0776791
294,40.0,-1.9390222,
295,41.0,-1.0296896,-0.11706543
296,42.0,-0.77790755,-1.3255907
297,44.0,-2.5331461,
298,45.0,-2.2200532,0.092378415
299,46.0,,-0.48677146
300,47.0,-2.1723347,0.03150655
301,48.0,,0.050578434
302,49.0,-2.7222557,0.4697844
303,50.0,-2.5589135,0.33847597
304,51.0,-1.6874212,-0.6315845
305,52.0,-1.8208557,-0.49419048
306,0.0,1.2485378,0.45313105
307,1.0,0.03280066,-1.8117405
308,0.0,4.655279,-0.026444834
309,6.0,4.5814805,0.21245444
310,8.0,4.1836405,0.656572
311,18.0,4.072821,0.3069528
312,21.0,4.326626,0.24831332
313,27.0,3.819581,0.012650372
314,28.0,3.5486221,0.36321107
315,31.0,3.3913033,0.22194391
316,35.0,3.0165818,0.18474853
317,39.0,3.604219,-0.5617185
318,40.0,1.3616484,-2.328658
319,41.0,0.72635376,-1.630285
320,42.0,0.6560751,-1.6262943
321,43.0,0.44117835,
322,44.0,0.37558088,-1.3392518
323,45.0,0.34269658,-1.2857095
324,46.0,0.49848315,
325,47.0,0.74363184,-1.8051306
326,48.0,-0.1783812,-0.5021875
327,52.0,-0.6258879,-0.50271654
328,56.0,-1.5180615,-0.06574943
329,58.0,,-0.11409831
330,59.0,-1.3223889,-0.63091046
331,60.0,-1.0484079,
332,61.0,-0.93975216,-0.70397526
333,62.0,-0.9357057,-0.6375285
334,63.0,-0.77692395,-0.17603782
335,64.0,-1.409605,0.23294014
336,65.0,-1.0490873,-0.15442829
337,66.0,-1.2002991,-0.5904723
338,69.0,,0.068220764
339,71.0,,0.16886973
340,72.0,0.11619871,-1.1732137
341,73.0,,0.5403863
342,74.0,,0.4990005
343,75.0,-2.644461,0.20394693
344,76.0,-1.8558841,-0.6444303
