,0,1,2
88,6.0,-0.8999254,0.9377894
89,7.0,1.0254719,2.7886527
90,8.0,2.433562,-0.3579176
91,9.0,1.9610674,-0.5937809
92,10.0,0.9215562,-1.3472167
93,11.0,-0.68873966,-2.8804865
94,12.0,-2.209403,0.30760327
95,13.0,-2.3533843,0.7147147
96,14.0,-0.8817312,1.3628763
97,15.0,1.2694309,3.0393696
98,16.0,2.1772761,-0.3243872
99,17.0,1.8369026,-0.5601531
100,18.0,0.90561825,-1.2617736
101,19.0,-0.74750626,-2.9655945
102,20.0,-1.9667221,0.50870043
103,21.0,-1.6916986,0.6327235
104,22.0,0.033876814,1.5397615
105,23.0,2.0705485,1.220591
106,24.0,1.7761186,-0.34745836
107,25.0,1.1019452,-1.019604
108,26.0,-0.47018299,-2.46537
109,27.0,-2.6134357,0.29680595
110,28.0,-2.896434,0.11537932
111,29.0,-2.3272138,-0.089631446
112,30.0,-2.6324973,0.7536543
113,31.0,-2.312349,1.0503714
114,32.0,-2.395937,0.33122572
115,33.0,-1.8936083,0.2866595
116,34.0,-1.383437,0.6331483
117,35.0,-0.052206617,1.6377399
118,36.0,1.9714702,1.2125832
119,37.0,2.1372354,-0.5991027
120,38.0,1.4156548,-0.99459237
121,39.0,-0.18425761,-2.1529424
122,40.0,-2.4960575,0.042225957
123,0.0,2.081841,-2.971896
124,1.0,-0.045671772,-2.3096497
125,2.0,-2.613387,0.10660122
126,3.0,-2.3813858,0.16408387
127,4.0,-0.40101734,1.4937654
128,5.0,1.8582199,2.134025
129,6.0,1.9592156,-0.5193917
130,7.0,1.6299391,-0.870823
131,8.0,0.6165712,-1.6298769
132,9.0,-1.7360735,-1.9723436
133,10.0,-1.8743948,0.6435246
134,11.0,-0.4491393,1.0773902
135,12.0,1.6060554,2.315363
136,13.0,1.9604774,-0.54425687
137,14.0,1.3626046,-0.96666646
138,15.0,0.3376115,-2.009474
139,16.0,-2.342121,-1.0301024
140,17.0,-1.9146566,0.7902188
141,18.0,-1.3455293,0.5372857
142,19.0,-0.6102666,1.424688
143,20.0,1.5757728,2.3360705
144,21.0,2.1735458,-0.64503133
145,22.0,1.4275473,-0.78846693
146,23.0,0.2723945,-1.7706769
147,24.0,-2.0392463,-1.4966218
148,25.0,-2.3254352,0.465368
149,26.0,-1.3446481,1.2636486
150,27.0,0.11300805,2.5705438
151,28.0,2.631173,-0.23826036
152,29.0,2.1241968,-0.43741646
153,30.0,1.5584533,-0.7925706
154,31.0,0.41573638,-1.8587301
155,32.0,-2.160984,-1.7206273
156,33.0,-1.3872738,1.5348617
157,34.0,-1.0000956,0.9519059
158,35.0,0.6309297,2.570849
159,36.0,2.4756289,-0.54410917
160,37.0,1.66756,-0.63887423
161,38.0,1.0475737,-1.2519543
162,39.0,-0.44357774,-2.6739388
163,40.0,-2.337485,0.28819576
164,0.0,2.015005,-2.8167453
165,1.0,0.0021305846,-2.4074712
166,2.0,-2.5889108,0.30626243
167,3.0,-2.2627852,0.71637356
168,4.0,-2.1837912,0.52997386
169,5.0,-0.095794104,1.6179373
170,6.0,2.093295,1.1723435
171,7.0,2.123657,-0.5620716
172,8.0,1.2950147,-0.7255763
173,9.0,0.25590417,-2.0111978
174,10.0,-2.2619665,-0.85213715
175,11.0,-1.4527842,0.9027287
176,12.0,-0.87477374,1.5791379
177,13.0,1.5716115,3.1802619
178,14.0,2.3447666,-0.6933099
179,15.0,1.7453138,-0.61828905
180,16.0,0.9124774,-1.1393002
181,17.0,-0.9807634,-2.719287
182,18.0,-2.246895,0.46630964
183,19.0,-0.88449854,0.8439082
184,20.0,0.75655836,2.5310102
185,21.0,2.278728,-0.46217057
186,22.0,1.7507899,-0.5483581
187,23.0,1.0990885,-1.143245
188,24.0,-0.49706,-2.608321
189,25.0,-2.4255407,0.72840494
190,26.0,-2.6322863,0.1879776
191,27.0,-1.446181,0.75674474
192,28.0,-0.50756043,1.9152659
193,29.0,2.158927,1.606474
194,30.0,2.0287943,-0.67514527
195,31.0,1.4928,-0.8635035
196,32.0,0.6603244,-1.650275
197,33.0,-1.9971781,-2.1044416
198,34.0,-2.3413744,0.30178702
199,35.0,-0.8451909,0.20117201
200,36.0,-0.7565462,1.5110792
201,37.0,1.5886871,2.790586
202,38.0,2.2179193,-0.41478533
203,39.0,1.8185085,-0.567342
204,40.0,0.6589697,-1.3827823
